[2020-09-18T16:00:34.002242+02:00] name.WARNING: Foo [] []
[2020-09-18T16:00:34.003468+02:00] name.ERROR: Bar [] []
[2020-09-18T17:51:53.292438+02:00] name.WARNING: Hello Nicollas [] []
[2020-09-18T17:51:53.844641+02:00] name.WARNING: Hello Nicollas [] []
[2020-09-18T17:51:54.676281+02:00] name.WARNING: Hello Nicollas [] []
[2020-09-18T17:51:55.012853+02:00] name.WARNING: Hello Nicollas [] []
[2020-09-18T17:52:12.972701+02:00] name.WARNING: Hello Nicollas [] []
[2020-09-18T17:52:13.492716+02:00] name.WARNING: Hello Nicollas [] []
[2020-09-18T17:52:13.908749+02:00] name.WARNING: Hello Nicollas [] []
[2020-09-18T17:52:14.511510+02:00] name.WARNING: Hello Nicollas [] []
[2020-09-18T17:52:15.006592+02:00] name.WARNING: Hello Nicollas [] []
[2020-09-18T17:52:15.444509+02:00] name.WARNING: Hello Nicollas [] []
[2020-09-18T17:52:15.881233+02:00] name.WARNING: Hello Nicollas [] []
[2020-09-18T17:52:16.439537+02:00] name.WARNING: Hello Nicollas [] []
[2020-09-18T17:52:17.847870+02:00] name.WARNING: Hello Nicollas [] []
